,HDThumbnailUrl,VideoId,Title,label
0,https://i.ytimg.com/vi/1-lSq0Y7Sf8/hqdefault.jpg,1-lSq0Y7Sf8,한국 패션이 어떠냐고요? 패션업계에 있는 유럽인들이 말하는 한국인의 패션!,0
1,https://i.ytimg.com/vi/z5-PlPKWMXk/hqdefault.jpg,z5-PlPKWMXk,프랑스 여자가 한국 공장에서 일하며 외노자가 된 이유는?,1
2,https://i.ytimg.com/vi/NFd-5sNibZE/hqdefault.jpg,NFd-5sNibZE,한국 고시원에 살아본 에스토니아 사람 #shorts,0
3,https://i.ytimg.com/vi/VUnf9lCdg_w/hqdefault.jpg,VUnf9lCdg_w,뉴욕에서 한국어를 배운 특이한 이유 ㅋㅋ #shorts,0
4,https://i.ytimg.com/vi/wtFDFJuvXhA/hqdefault.jpg,wtFDFJuvXhA,등교길에 지하철 분식을 지나칠 수 없는 미국여자! 김떡순 오뎅까지 혼밥 먹방,0
5,https://i.ytimg.com/vi/o6_oTWJzV-k/hqdefault.jpg,o6_oTWJzV-k,히잡에 대한 젊은 이란 사람들의 시선 #shorts,0
6,https://i.ytimg.com/vi/_h9q2MFC7aI/hqdefault.jpg,_h9q2MFC7aI,프랑스 여자가 한국을 안전하다고 느끼는 이유 #shorts,0
7,https://i.ytimg.com/vi/HYkpaPfSbEU/hqdefault.jpg,HYkpaPfSbEU,혼혈이 매일 듣는 질문을 한국인한테 하기 #shorts,0
8,https://i.ytimg.com/vi/nP0HSmDR2WI/hqdefault.jpg,nP0HSmDR2WI,에스토니아에서 붕어빵 장사하려는 의류브랜드 사업가 마이! 한국에 왜 자꾸 오세요? 🇪🇪,1
9,https://i.ytimg.com/vi/Voa2CNE64Tc/hqdefault.jpg,Voa2CNE64Tc,인도혼혈이 한국인에게 유학을 권장하는 이유 #shorts,0
10,https://i.ytimg.com/vi/ZgIt84g2ZVQ/hqdefault.jpg,ZgIt84g2ZVQ,한국 칭찬하는 외국인을 보면 불편한 이유 #shorts,0
11,https://i.ytimg.com/vi/08qyjgpm0RY/hqdefault.jpg,08qyjgpm0RY,한국어로도 야한얘기 좀 하고 싶어요…,0
12,https://i.ytimg.com/vi/9KBZzIrAUVQ/hqdefault.jpg,9KBZzIrAUVQ,"크레인에 매달아 공개처형까지, 이란은 왜 이렇게 됐을까?",0
13,https://i.ytimg.com/vi/7lxVYfedCgk/hqdefault.jpg,7lxVYfedCgk,한국에 가족없는 외국인들은 설날에 뭐해? 그들이 설날에 모인 이유는? (ft. 떡국파티),0
14,https://i.ytimg.com/vi/sMbdkDB-7A8/hqdefault.jpg,sMbdkDB-7A8,제발 수업 진행 좀 해도 될까요?,0
15,https://i.ytimg.com/vi/luwWImkyL9A/hqdefault.jpg,luwWImkyL9A,군대 간 거 안 억울해요? 버클리 음대 출신 인도 한국 혼혈의 군대생활 🇮🇳🇰🇷,1
