,ChannelName,VideoIndex,VideoID,VideoTitle,Label
0,침착맨,0.0,-4BvjRGDIAw,"【히오스/하이라이트】 새해맞이 행복시공 (feat. Rich, KyoCha)",0.0
1,침착맨,1.0,HTpd6iJdxyk,【히오스】 2019년에도 무서운 침아블로 (feat. Rich),0.0
2,침착맨,2.0,Tf7lwAJirNY,【다크 세라핌】 1화 - 추락천사 알카드,0.0
3,침착맨,3.0,l1LT2hccFfI,【히오스】 단 8분 46초만에 끝내는 필승전략,0.0
4,침착맨,4.0,3cpJ6wSC3xI,【메탈슬러그 - 침착맨X주호민】 인해전술 공략법,1.0
5,침착맨,5.0,7wy3kwPtCpo,"【메탈슬러그1 - 침X펄】 52코인 공략법 (26,000원)",1.0
6,침착맨,6.0,JOST6xAUeb0,"【메탈슬러그X - 침X펄】 63코인 공략법 (31,500원)",0.0
7,침착맨,7.0,Sw4d8VlPgQM,"【메탈슬러그3 - 침X펄】 88코인 공략법 (44,000원)",1.0
8,침착맨,8.0,zO2pc0XNBEE,【다크 세라핌】 2화 - 쟈보스의 동굴,0.0
9,침착맨,9.0,QS3d1ZkM8N8,【침착맨】 노이즈가 심하다구요? 본격 세팅 방송,0.0
10,침착맨,10.0,4rkUiAGGvl8,【하스스톤/투기장】 전사 10승 강의 #1,0.0
11,침착맨,11.0,lVCjuA7Ntas,【하스스톤/투기장】 전사 10승 강의 #2,0.0
12,침착맨,13.0,LXB_sVFRzs0,갓난아기 버거킹 먹방,1.0
13,침착맨,12.0,ATXaHIkGocg,【침착맨X주호민】 인터넷 방송 리액션 강좌 (feat. 히트다 히트),0.0
14,침착맨,14.0,xNrvMsJ3ghw,【침X펄X풍 TRPG】 던전월드 4화 - 마법대학에 잠입하다!,1.0
15,침착맨,15.0,2YU7xvPyQUU,【침X펄X풍 TRPG】 던전월드 5화 - 불타는 세이프마운틴,1.0
16,침착맨,16.0,kpopQnFs5rs,【다이어트 먹방】 김치 빼고 피.자.탕.수.육,0.0
17,침착맨,17.0,499q1O0N_Sg,【좋은피자 위대한피자】 피자맨의 뒷목식당,0.0
18,침착맨,18.0,LHVNMQYF1HQ,【던전앤드래곤/하이라이트】 침전사 X 펄사제 X 풍드워프의 모험,0.0
19,침착맨,19.0,cjw4jdN2eM4,【던전앤드래곤】 침전사 X 펄사제 X 풍드워프의 모험 (Full),0.0
20,침착맨,20.0,ydZKuOW_zI0,최고의 진상 손님은? 편의점 진상 월드컵,1.0
21,침착맨,21.0,2PB0yztdNUY,돌아온 【프렌즈마블】 미국 파산,0.0
22,침착맨,22.0,Ms-K39gYxeY,마녀의 집 | 제2화 귀신들린 저택에서 살아남는 공포 쯔꾸르 ~끝~,0.0
23,침착맨,23.0,yD2TgrFu5Qk,마녀의 집 | 제1화 귀신들린 저택에서 살아남는 공포 쯔꾸르,1.0
24,침착맨,24.0,AEJxYW0U_Xo,【침착맨】 블리자드에서 온 '하스스톤 아트북' 구경하기,0.0
25,침착맨,25.0,OKkpLk_8cyE,【다이어트 먹방】 스팸도시락 딱밥딱찬 공략법,0.0
26,침착맨,26.0,PMDLAPJCRUQ,【츄첼】 아기자기하게 기괴한 정신병 어드벤처 #1,0.0
27,침착맨,28.0,YQ73RYknVC4,【츄첼】 아기자기하게 기괴한 정신병 어드벤처 #2(완),0.0
28,침착맨,27.0,UbBxDPkbCgk,【하스스톤/투기장】 사제 고급반 강의 - 침착하게 필드 뺏어오기,0.0
29,침착맨,29.0,_6lNh3-5OIM,【프렌즈마블 - 침착맨X공혁준】 프랑스 7조 지뢰,1.0
30,침착맨,30.0,fFUMFqN4zPo,【침X펄】 주호민 온라인 사인회 (+침착맨 그리는 법),0.0
31,침착맨,31.0,fjlSmnr8nJM,【프렌즈마블】 개돼지 하이라이트 모음집,0.0
32,침착맨,32.0,Qx5_DwST8Ho,"【침착맨】 안산친구 김강현 씨, 김지운 씨 초대석 (손금강좌)",0.0
33,침착맨,33.0,9b_ch1VkL5E,【다크 세라핌】 3화 - 페이먼의 얼음성,0.0
34,침착맨,34.0,5xiwwnfqq2k,【침착맨X주호민】 이것만은 입기 싫다! 가장 싫은 패션 월드컵,1.0
35,침착맨,35.0,eH5jPWKV5Ro,【침X펄X풍 TRPG】 던전월드 6화 - 급식소 습격사건,1.0
