,Published,HDThumbnailUrl,ViewCount,VideoId,Title
0,2023-02-09T09:29:37Z,https://i.ytimg.com/vi/Lfu2XXeT59Y/hqdefault.jpg,1431474,Lfu2XXeT59Y,15평 원룸 사무실 셀프 인테리어 후기 - 이사(3)
1,2023-02-02T14:19:23Z,https://i.ytimg.com/vi/_pmW9qZYud0/hqdefault.jpg,850453,_pmW9qZYud0,나의 생일 라이브 및 향후 공지
2,2023-01-28T09:24:05Z,https://i.ytimg.com/vi/Fj7iks1PDDY/hqdefault.jpg,3155804,Fj7iks1PDDY,성공한 찐따의 한강뷰 이주 대작전 - 이사(2)
3,2023-01-25T09:16:54Z,https://i.ytimg.com/vi/qRmlGFUAHT0/hqdefault.jpg,1789313,qRmlGFUAHT0,신년 한강뷰 이사 프로젝트 - 이사(1)
4,2022-12-31T09:00:07Z,https://i.ytimg.com/vi/0yyqhot0BDc/hqdefault.jpg,1447499,0yyqhot0BDc,연말 파주 노천온천에서 보낸 2박3일 여행
5,2022-12-19T09:11:55Z,https://i.ytimg.com/vi/pQE4PYNS5K4/hqdefault.jpg,2317805,pQE4PYNS5K4,500만원짜리 VIP 비즈니스석 탑승 후기
6,2022-12-06T04:43:50Z,https://i.ytimg.com/vi/qkwYr0E9pMc/hqdefault.jpg,1176635,qkwYr0E9pMc,굿바이 카타르 월드컵 - 카타르(끝)
7,2022-12-03T02:05:04Z,https://i.ytimg.com/vi/iFnIPPorydo/hqdefault.jpg,3719259,iFnIPPorydo,벤투 감독님과 월드컵 16강행 직관한 썰 - 카타르(4)
8,2022-12-02T09:54:20Z,https://i.ytimg.com/vi/XpaGlPdJhjQ/hqdefault.jpg,2407525,XpaGlPdJhjQ,미쳐버린 중동 물가 초호화 체험기 - 카타르(3)
9,2022-11-29T04:32:52Z,https://i.ytimg.com/vi/kBCkvvfPcV0/hqdefault.jpg,2106281,kBCkvvfPcV0,월드컵 가나전 VIP석 직관 후기 - 카타르(2)
10,2022-11-23T09:00:07Z,https://i.ytimg.com/vi/EVfz9Vz092g/hqdefault.jpg,1753474,EVfz9Vz092g,월드컵개최국 카타르 수도 둘러보기 - 카타르(1)
11,2022-11-12T13:58:24Z,https://i.ytimg.com/vi/TONiSOZavUQ/hqdefault.jpg,1839364,TONiSOZavUQ,고도비만 남성의 기적적 간헐적 단식 후기
12,2022-11-06T09:00:03Z,https://i.ytimg.com/vi/2rGgGcrsX70/hqdefault.jpg,1363845,2rGgGcrsX70,두 나라로 갈라진 이상한 국경마을 탐방
13,2022-10-26T15:01:38Z,https://i.ytimg.com/vi/l6j4Dc1yO6E/hqdefault.jpg,763870,l6j4Dc1yO6E,수리남 여행후기 및 향후 계획 논의
14,2022-10-25T09:51:14Z,https://i.ytimg.com/vi/mBWQX7c-EYo/hqdefault.jpg,2214881,mBWQX7c-EYo,최고의 수리남 요리를 찾아서 - 수리남(3)
15,2022-10-19T07:59:44Z,https://i.ytimg.com/vi/86YF3TdRDys/hqdefault.jpg,2481305,86YF3TdRDys,수리남 정글에서 살아남기 - 수리남(2)
16,2022-10-14T13:58:04Z,https://i.ytimg.com/vi/oOk0lwRd4SQ/hqdefault.jpg,3685759,oOk0lwRd4SQ,수리남으로 간 사나이 - 수리남(1)
17,2022-10-06T10:00:05Z,https://i.ytimg.com/vi/vZ5y29s-oSk/hqdefault.jpg,1778507,vZ5y29s-oSk,"찐따, 그녀와 부산 캠핑카에서 1박 2일 여행(下)"
18,2022-09-28T11:30:23Z,https://i.ytimg.com/vi/y3dQScXd-rU/hqdefault.jpg,2025047,y3dQScXd-rU,"찐따, 그녀의 고향에 1박2일 초대받다(中)"
19,2022-09-23T12:11:12Z,https://i.ytimg.com/vi/VewmZ86IEQU/hqdefault.jpg,2070371,VewmZ86IEQU,"찐따, 외딴 섬에 그녀와 1박2일 캠핑을 가다(上)"
20,2022-09-18T13:04:34Z,https://i.ytimg.com/vi/-hoZk_s66gw/hqdefault.jpg,2199346,-hoZk_s66gw,일본의 무한온천마을 먹방 대모험 - 일본(5)
21,2022-09-13T13:03:46Z,https://i.ytimg.com/vi/4rYE9z8W5Nw/hqdefault.jpg,2434590,4rYE9z8W5Nw,일본 기차타고 1박2일 만칼로리 먹방투어 - 일본(4)
22,2022-09-06T12:09:43Z,https://i.ytimg.com/vi/2_AJ4dU-1ok/hqdefault.jpg,2198863,2_AJ4dU-1ok,일본 여사친과 시골 축제에 가다 - 일본(3)
23,2022-09-01T09:01:16Z,https://i.ytimg.com/vi/84zkJa9xIVA/hqdefault.jpg,3828811,84zkJa9xIVA,"찐따, 일본 오타쿠의 성지에 가다 - 일본(2)"
24,2022-08-28T12:59:35Z,https://i.ytimg.com/vi/49tjroGV8nk/hqdefault.jpg,2953507,49tjroGV8nk,도쿄의 고독한 대식가 - 일본(1)
25,2022-08-08T08:59:40Z,https://i.ytimg.com/vi/1uPGABWX9BE/hqdefault.jpg,1761697,1uPGABWX9BE,끊임없이 음식이 나오는 한국 귀국 브이로그
26,2022-08-02T12:35:40Z,https://i.ytimg.com/vi/LHZdbAbQlCU/hqdefault.jpg,1621139,LHZdbAbQlCU,우즈베키스탄식 초호화 5성 호텔에서 마지막 - 우즈벡(끝)
27,2022-07-26T10:17:58Z,https://i.ytimg.com/vi/2xELVm8n4WU/hqdefault.jpg,1365663,2xELVm8n4WU,멀고도 험한 한국으로 가는 길 - 우즈벡(6)
28,2022-07-22T03:31:33Z,https://i.ytimg.com/vi/3p-rQDK7Ztg/hqdefault.jpg,1456751,3p-rQDK7Ztg,돌아온 우즈베키스탄식 괴상한 결혼식 - 우즈벡(5)
