,Published,HDThumbnailUrl,ViewCount,VideoId,Title
0,2023-02-16T11:00:29Z,https://i.ytimg.com/vi/fL_6AVfXdyk/hqdefault.jpg,354789,fL_6AVfXdyk,짜장면을 배 터지게 먹어보자!!!
1,2023-02-13T11:00:17Z,https://i.ytimg.com/vi/TqJ0Hx16WW4/hqdefault.jpg,400731,TqJ0Hx16WW4,글래머 먹방 유튜버 냉장고 털기ㅋㅋㅋㅋ
2,2023-02-10T11:00:42Z,https://i.ytimg.com/vi/sKSTtYr5Yt8/hqdefault.jpg,457682,sKSTtYr5Yt8,주인집 거실 점령ㅋㅋㅋㅋㅋ
3,2023-02-07T11:00:15Z,https://i.ytimg.com/vi/PqiCrxDBH_U/hqdefault.jpg,520781,PqiCrxDBH_U,직접 잡은 굴을 배터지게 먹어보자!!!
4,2023-02-04T11:00:31Z,https://i.ytimg.com/vi/XhNXy-CLuIw/hqdefault.jpg,488799,XhNXy-CLuIw,쓰레기집에 사는 남자들...
5,2023-02-01T11:00:34Z,https://i.ytimg.com/vi/h-MGLbB4H5o/hqdefault.jpg,453927,h-MGLbB4H5o,텐트에서 과메기 만들어 먹기 !!!
6,2023-01-29T11:00:08Z,https://i.ytimg.com/vi/DqCvNL0GI0Y/hqdefault.jpg,505629,DqCvNL0GI0Y,가마솥 장만했습니다 ㅋㅋㅋㅋㅋ
7,2023-01-26T11:00:28Z,https://i.ytimg.com/vi/qQrD2BKPApo/hqdefault.jpg,479707,qQrD2BKPApo,주인집 물건 싹 다 팔아버리기 ㅋㅋㅋㅋㅋㅋ
8,2023-01-23T11:00:15Z,https://i.ytimg.com/vi/QM922ajzcDU/hqdefault.jpg,766351,QM922ajzcDU,선응이방 풀체인지!!!! 셀프 블랙 인테리어!!
9,2023-01-20T11:00:08Z,https://i.ytimg.com/vi/CB_3cMzmJUg/hqdefault.jpg,401133,CB_3cMzmJUg,잡히는대로 초밥 만들어 먹기!!!
10,2023-01-17T11:00:00Z,https://i.ytimg.com/vi/0hpc2kV7btw/hqdefault.jpg,495719,0hpc2kV7btw,"단돈 25,000원 초저가 숙소!!!"
11,2023-01-14T11:00:11Z,https://i.ytimg.com/vi/JHF3I59iLlc/hqdefault.jpg,554948,JHF3I59iLlc,초대형 닭다리를 배터지게 먹어보자!
12,2023-01-11T11:00:19Z,https://i.ytimg.com/vi/Xpun2UFRipM/hqdefault.jpg,506796,Xpun2UFRipM,이 날씨에 베란다에 산다는 건...
13,2023-01-08T11:00:07Z,https://i.ytimg.com/vi/FAnlBDiB2zE/hqdefault.jpg,536328,FAnlBDiB2zE,영하 -12도에서 라면 먹기..!
14,2023-01-05T11:00:09Z,https://i.ytimg.com/vi/JHwmFhgvmE8/hqdefault.jpg,512300,JHwmFhgvmE8,형주형... 잘 먹고 잘 입을게 ^^
15,2023-01-02T11:00:29Z,https://i.ytimg.com/vi/xFJSHFHAWlE/hqdefault.jpg,581792,xFJSHFHAWlE,와.. 나 여기서 어떻게 살지..?
16,2022-12-30T11:00:35Z,https://i.ytimg.com/vi/tSMW8r2ug9Y/hqdefault.jpg,607708,tSMW8r2ug9Y,베란다에 가두고 델리만쥬 강매 ㅋㅋㅋ
17,2022-12-27T11:00:23Z,https://i.ytimg.com/vi/fIvFzftaRUk/hqdefault.jpg,377812,fIvFzftaRUk,전기 펑펑 쓰는 초호화 차박!!!
